"artist","asin","media","review_count","star_rating","title","year","genre"
"CELESTE","B074BYGHXT","Audio CD,MP3 Music,Vinyl","8","3","Infidele S",2017,"black metal"
"Enslaved","B074JS3X5P","Audio, Cassette,MP3 Music,Audio CD,Vinyl","139","4.6","E",2017,"black metal"
"Old Man's Child","B07545GDPS","Vinyl,MP3 Music,Audio CD","32","4.6","Iii - Nautured Spiritual Invasion",2017,"black metal"
"Old Man's Child","B07547VXF3","Vinyl,MP3 Music,Audio CD","45","4.7","Pagan Prosperity",2017,"black metal"
"Osculum Infame","B07577T3YM","Audio CD,MP3 Music","1","4","Axis Of Blood",2017,"black metal"
"Celeste","B07595RC6R","Audio CD,MP3 Music,Vinyl","7","4.1","Misanthrope s",2017,"black metal"
"SARKE","B075DSLWFZ","Vinyl,MP3 Music,Audio CD","15","4.8","Viige Urh",2017,"black metal"
"ARKHON INFAUSTUS","B075DXVLT2","Vinyl,MP3 Music,Audio CD","4","4.7","Passing The Nekromanteion",2017,"black metal"
"Cradle Of Filth","B075ZPDKRT","Vinyl,MP3 Music,Audio CD","71","4.6","V EMPIRE Or Dark Faerytales In Phallustien Ltd, Picture",2017,"black metal"
"Dimmu Borgir","B076VQP9NG","Vinyl,MP3 Music,Audio CD","166","4.6","For All Tid",2017,"black metal"
"HARAKIRI FOR THE SKY","B0775CWZV7","Audio CD,MP3 Music,Vinyl","93","4.8","Arson",2018,"black metal"
"Profanatica","B077G2SW39","Audio CD,Audio CD","2","5","The Enemy of Virtue",2008,"black metal"
"Salem","B07886HD1F","Audio CD,MP3 Music,Vinyl","8","4.4","Attrition",2018,"black metal"
"Marduk","B07894WLZP","Audio CD,MP3 Music,Vinyl","74","4.6","Nightwing",2018,"black metal"
"Sodom","B078D2KK91","Vinyl,MP3 Music,Audio CD","64","4.7","Sodom",2017,"black metal"
"Necromantia","B078DDYRC4","Audio CD,MP3 Music","3","5","The Sound Of Lucifer Storming Heaven",2018,"black metal"
"Satanic Warmaster","B078F9KMCL","Audio CD,Vinyl","5","4.7","We Are The Worms That Crawl On The Broken Wings Of An Angel",2018,"black metal"
"Behemoth","B0794L61LR","Audio CD,MP3 Music","44","4.8","Demigod",2018,"black metal"
"Primordial","B0794QWCGD","Vinyl,MP3 Music,Audio CD","91","4.9","Exile Amongst The Ruins",2018,"black metal"
"Sepultura","B079JCM1MV","Vinyl,MP3 Music,Audio CD","407","4.9","Arise Expanded Edition",2018,"black metal"
"Sheidim","B079PDFH3G","Vinyl,Audio CD","1","5","Shrines Of The Void",2018,"black metal"
"DAUTHA","B079PGX6PF","Vinyl,MP3 Music,Audio CD","2","4","BRETHREN OF THE BLACK Analog",2018,"black metal"
"HEMELBESTORMER","B079PT2YCC","Vinyl,MP3 Music,Audio CD","4","5","Ring Of Blue Light",2018,"black metal"
"Megatomb","B07B16NSP2","Vinyl","1","5","Louder Than A Thousand Deaths",2018,"black metal"
"ANTLERS","B07B5VXY53","Audio CD,Vinyl","5","4.8","Beneath.Below.Behold",2018,"black metal"
"Wolves in the Throne Room","B07B5WFV58","Audio CD,MP3 Music,Vinyl","10","4.9","Live At Roadburn 2008",2018,"black metal"
"Over Kill","B07B5Y6PVW","Audio CD,MP3 Music,Vinyl","251","4.8","Live In Overhausen",2018,"black metal"
"Skeletonwitch","B07BCCFSHL","Vinyl,MP3 Music,Audio CD","68","4.8","Forever Abomination",2018,"black metal"
"Behemoth","B07BF25DQJ","Vinyl,Audio CD","120","4.7","Messe Noire",2018,"black metal"
"Cruachan","B07BF5SR46","Audio CD,MP3 Music,Vinyl","14","4.3","Nine Years Of Blood",2018,"black metal"
"Venom","B07BLHMY41","Vinyl,MP3 Music,Audio CD","61","4.7","Eine Kleine Nachtmusik",2017,"black metal"
"Leviathan","B07BN7YNBK","Audio CD,MP3 Music","2","3","Can't Be Seen By Looking: Blurring Lines Clouding",2018,"black metal"
"Cor Scorpii","B07BQMX37Y","Audio CD,MP3 Music,Vinyl","9","4","Ruin",2018,"black metal"
"Tsjuder","B07BQPXRZ6","Audio CD,MP3 Music,Vinyl","14","4.6","Throne of the Goat",2018,"black metal"
"Isengard","B07BQRRFYY","Audio CD,MP3 Music,Vinyl","83","4.8","Hostmorke",2018,"black metal"
"Marduk","B07BZBZ1FG","Audio CD,MP3 Music,Vinyl","217","4.6","Viktoria",2018,"black metal"
"Manes","B07BZC8BBF","Audio CD,Vinyl","6","5","Under Ein Blodraud Maane",2018,"black metal"
"Inquisition","B07C53ZZWD","Vinyl,MP3 Music,Audio CD","78","4.7","Ominous Doctrines of the Perpetual Mystical Macrocosm Ltd. Ed. solid blue, white & black mixed",2018,"black metal"
"Impending Doom","B07C5HNBVJ","Vinyl,MP3 Music,Audio CD","94","4.8","The Sin And Doom Vol. II",2018,"black metal"
"Deafheaven","B07C5M3FZH","Vinyl,MP3 Music,Audio CD","244","4.8","Ordinary Corrupt Human Love",2018,"black metal"
"Urfaust","B07C74SY77","Audio CD,MP3 Music,Vinyl","27","4.7","The Constellatory Practice",2018,"black metal"
"UADA","B07C8Q5MS6","Audio CD,MP3 Music,Vinyl","67","4.7","Cult Of A Dying Sun",2018,"black metal"
"Dodheimsgard","B07C9D5P5X","Audio CD,MP3 Music,Vinyl","25","4.8","Satanic Art",2018,"black metal"
"Aura Noir","B07C9D5PC5","Vinyl,MP3 Music,Audio CD","12","4.3","Out To Die",2018,"black metal"
"Katatonia","B07C9D91G3","Audio CD,MP3 Music,Audio CD,Vinyl","113","4.9","Sanctitude",2018,"black metal"
"NECRODEATH","B07CBLSDN9","Vinyl,MP3 Music,Audio CD","5","4","Age Of Dead Christ",2018,"black metal"
"Necrodeath","B07CCG1XJP","Audio CD,MP3 Music","1","5","Black As Pitch re-release",2018,"black metal"
"NOCTURNAL BREED","B07CCG1XKN","Audio CD","2","3","Whiskey Tapes Germany",2018,"black metal"
"Darkthrone","B07CCZX8RL","Audio CD,Audio CD","63","4.6","Plaguewielder",2018,"black metal"
"Eisregen","B07CCZXJ1G","Audio CD,MP3 Music,Vinyl","32","4.7","Satan Leibt Sich",2018,"black metal"
"Bethlehem","B07CLW1VHG","Vinyl,MP3 Music,Audio CD","39","4.8","Bethlehem",2018,"black metal"
"Cradle Of Filth","B07CN4MWP7","Audio CD,MP3 Music,Vinyl","61","4.5","Eleven Burial Masses",2018,"black metal"
"Darkthrone","B07CN4NQGF","Audio CD,MP3 Music,Vinyl","93","4.7","Total Death",2018,"black metal"
"Ulver","B07CQP6QZH","Vinyl,MP3 Music,Audio CD","36","4.7","Shadows Of The Sun",2018,"black metal"
"BEHEMOTH","B07CXBXJ99","Vinyl","5","4.2","& The Forests Dream Eternally",2018,"black metal"
"Behemoth","B07CXBXQ7L","Vinyl,Audio CD","36","4.6","Pandemonic Incantations",2018,"black metal"
"Ihsahn","B07CXC32T9","Vinyl,MP3 Music,Audio CD","81","4.7","Amr",2018,"black metal"
"Obtained Enslavement","B07CXC36BP","Audio CD,Vinyl","17","4.9","Soulblight",2018,"black metal"
"Rotting Christ","B07CXFD7QK","Vinyl,Vinyl","1","4","The Other Side Of Life",2018,"black metal"
"Katatonia","B07CXGS4NW","Audio CD,MP3 Music","77","4.7","The Fall Of Hearts",2021,"black metal"
"Skeletonwitch","B07CXK4Y2H","Audio CD,MP3 Music,Vinyl","106","4.6","Devouring Radiant Light",2018,"black metal"
"Gorgoroth","B07CXYMXXX","Audio CD,MP3 Music,Vinyl","86","4.8","Pentagram",2018,"black metal"
"Behemoth","B07CXYN3CN","Vinyl,Audio CD","39","4.7","Grom",2018,"black metal"
"Behemoth","B07CXYN95D","Vinyl","2","5","Sventevith",2019,"black metal"
"Dragon Lord","B07CXZ9FCB","Audio CD,MP3 Music,Vinyl","40","4.7","Dominion",2018,"black metal"
"Inquisition","B07D2Y536N","Vinyl,MP3 Music,Audio CD","43","4.9","Into The Infernal Regions Of The Ancient Cult Ltd. Ed. gold & red marble .",2018,"black metal"
"Marduk","B07D4ZLG8H","Audio CD","1","5","Viktoria",2018,"black metal"
