"artist","asin","media","review_count","star_rating","title","year","genre"
"Asphyx","B0028Z378M","Audio CD,MP3 Music","65","4.8","Death the Brutal Way",2009,"death metal"
"Born of Osiris","B00290GN4G","Audio CD,MP3 Music,Vinyl","55","4.6","A Higher Place",2009,"death metal"
"Aborted","B00292SQPI","Audio CD,MP3 Music,Vinyl","39","4.6","Goremageddon: The Saw & the Carnage Done",2012,"death metal"
"Aborted","B00292SQPS","Audio CD,MP3 Music,Vinyl","41","4.5","The Archaic Abattoir",2012,"death metal"
"Nightrage","B002959M5I","Audio CD,MP3 Music,Vinyl","18","4.6","Wearing A Martyr's Crown",2009,"death metal"
"Beherit","B0029LJAGI","Audio CD,MP3 Music,Vinyl","19","4.6","Engram",2009,"death metal"
"YOB","B0029TQSVK","Audio CD,MP3 Music,Vinyl","95","4.8","The Great Cessation",2009,"death metal"
"Skitliv","B0029VX27Q","Audio CD,MP3 Music,Vinyl","9","5","SKANDINAVISK MISANTROPI",2012,"death metal"
"Suicide Silence","B0029WT44U","Audio CD,MP3 Music,Vinyl","166","4.8","No Time to Bleed",2009,"death metal"
"Man Must Die","B002A9MN04","Audio CD,MP3 Music,Vinyl","21","4.8","No Tolerance for Imperfection",2009,"death metal"
"Dying Fetus","B002A9MN18","Audio CD,MP3 Music,Vinyl","105","4.8","Descend Into Depravity",2009,"death metal"
"Death Before Dishonor","B002A9OJ4W","Audio CD,MP3 Music,Vinyl","16","4.8","Better Ways To Die",2009,"death metal"
"Crimson Armada","B002AF4XKG","Audio CD,MP3 Music","13","4.8","Guardians",2009,"death metal"
"Job for a Cowboy","B002AF4XLA","Audio CD,MP3 Music,Vinyl","73","4.7","Ruination",2009,"death metal"
"Rudra","B002APNJTC","Audio CD,MP3 Music","7","5","Brahmavidya: Transcendental I",2009,"death metal"
"Hank Williams III","B002BLNGSO","Audio CD,MP3 Music,Vinyl","69","4.4","Assjack",2009,"death metal"
"August Burns Red","B002BNTO8I","Audio CD,MP3 Music","176","4.7","Constellations",2009,"death metal"
"Arsonists Gl the Girls","B002BYSFYG","Audio CD,MP3 Music","15","4.6","Portals",2012,"death metal"
"For the Fallen Dreams","B002BYSFZU","Audio CD,MP3 Music","14","4.8","Relentless",2009,"death metal"
"Dissection","B002CJEBAW","Audio CD,MP3 Music","105","4.6","Reinkaos",2006,"death metal"
"Napalm Death","B002CJECEW","Audio CD,MP3 Music,Vinyl,Audio, Cassette","264","4.8","NAPALM DEATH SCUM",2004,"death metal"
"Atrocity","B002CJEDEG","Audio CD,MP3 Music","30","4.6","Werk 80 II",2009,"death metal"
"Divine Heresy","B002CVQAUE","Audio CD,MP3 Music,Vinyl","38","4.6","Bringer Of Plagues",2012,"death metal"
