artist,asin,media,review_count,star_rating,title,year
Motörhead,B00TY190IY,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",410,4.8,No Remorse,2015
Knocked Loose,B01IQR99CS,"Audio CD,MP3 Music,Vinyl",407,4.8,Laugh Tracks,2016
Eluveitie,B07N3Q7GD7,"Audio CD,MP3 Music,Vinyl",408,4.8,Ategnatos,2019
Fit for an Autopsy,B07VFQMMJC,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",411,4.8,Sea Of Tragic Beasts,2019
Cradle Of Filth,B000FGGEQS,"Audio CD,MP3 Music",410,4.8,Midian,2011
Diamond Head,B08JB5WRZL,"Vinyl,MP3 Music,Audio CD",408,4.8,Lightning To The Nations 2020,2020
Rage Against The Machine,B0000DGDMI,"Audio CD,Vinyl",408,4.8,Live at the Grand Olympic Auditorium,2003
Beartooth,B00MXILVHI,"Vinyl,MP3 Music,Audio CD",410,4.8,Disgusting,2014
311,B00005KBBL,"Audio CD,MP3 Music,Vinyl",410,4.8,From Chaos,2001
The Offspring,B0017V7H6Q,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",404,4.8,Ignition,2008
Arthur Allen,B00002E236,"DVD,Audio CD,VHS Tape",408,4.8,Jimi Hendrix,", et al."
Frank Zappa,B0000009S5,"Audio CD,MP3 Music,Vinyl",406,4.8,Burnt Weeny Sandwich, | 
Avatar,B01CZ5M028,"Audio CD,MP3 Music,Vinyl",403,4.8,FEATHERS & FLESH,2016
Cold,B00008XS44,"Audio CD,MP3 Music,Vinyl",401,4.8,Year of the Spider,2003
Killer Be Killed,B09DTDW6V7,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",401,4.8,Killer be Killed Blue &,2021
Alice In Chains,B00000JH07,"Audio CD,MP3 Music,Audio, Cassette",402,4.8,Nothing Safe,1999
Hollywood Undead,B004NTVMRY,"Audio CD,MP3 Music,Vinyl",401,4.8,American Tragedy,2011
Beartooth,B06ZZTRWMM,"Audio CD,MP3 Music,Vinyl",405,4.8,Aggressive PAL Reg2,2017
The Clash,B00004BZ05,Audio CD,400,4.8,The Clash US Version,2000
Testament,B000002IOJ,"Audio CD,MP3 Music,Audio, Cassette",398,4.8,Practice What You Preach,1989
Escape the Fate,B000HDRAWQ,"Audio CD,MP3 Music,Vinyl",399,4.8,Dying Is Your Latest Fashion,2006
Draconian,B088SYT7HH,"Vinyl,MP3 Music,Audio CD",398,4.8,Under A Godless Veil,2022
IRON MAIDEN,B0863R7XHL,Audio CD,400,4.8,Rock In Rio,2020
In This Moment,B00CJ87RJ8,Audio CD,397,4.8,Blood,2013
Corrosion Of Conformity,B09LGNR669,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",396,4.8,Wiseblood Black,2022
The Amity Affliction,B07DV95WR8,"Audio CD,MP3 Music,Vinyl",396,4.8,Misery,2018
Demon Hunter,B07MBBYWJ6,"Audio CD,MP3 Music,Vinyl",397,4.8,War,2019
Ghost,B0788YNVFX,"Audio CD,Vinyl",398,4.8,Ceremony & Devotion,2018
Slipknot,B09YMP65S4,Vinyl,395,4.8,Vol. 3 The Subliminal Verses Violet,2022
Manowar,B000002INK,"Audio, Cassette,MP3 Music,Audio CD,Vinyl",396,4.8,Kings of Metal,1990
Amon Amarth,B07NJ1KWDP,"Vinyl,Audio CD",394,4.8,Berserker,2019
Def Leppard,B0027WNRJ0,"Audio CD,Vinyl",397,4.8,Adrenalize,2009
Dio,B000000OPQ,"Audio CD,Vinyl",395,4.8,Vision Quest,1990
McAuley-Schenker Group,B009GB97DU,"Audio CD,Audio CD",392,4.8,Perfect Timing,2012
Suicidal Tendencies,B09RQ29GJZ,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",392,4.8,How Will I Laugh Tomorrow When I Can't Even Smile Today,2022
Architects,B07HGQ4HZ2,"Vinyl,MP3 Music,Audio CD",395,4.8,Holy Hell,2018
Def Leppard,B000B8IAP8,DVD,391,4.8,Def Leppard - Rock of Ages: Definitive Collection DVD,
Apocalyptica,B07XW7DCZ2,"Audio CD,Vinyl",391,4.8,Cell-0,2020
Deftones,B0009S3HI0,"Audio CD,MP3 Music,Vinyl",391,4.8,B-Sides & Rarities,2005
Exodus,B0BL3W4QM2,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",389,4.8,Persona Non Grata,2022
Iron Maiden,B000A6NQNM,"Vinyl,MP3 Music,Audio CD",392,4.8,Death on the Road,2006
Nightwish,B000W03RHQ,"Audio CD,MP3 Music,Vinyl",388,4.8,End of An Era,2007
Iron Maiden,B00OT5V6GY,"Vinyl,Audio CD",391,4.8,IRON MAIDEN Piece Of Mind LP original 1st US press 1983 gold stamp CAPITOL ST-12274 Heavy Metal,1983
Nightwish,B000FGFSPG,"DVD,MP3 Music,Audio CD,Vinyl",388,4.8,End of An Era,
Testament,B000002J0G,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",386,4.8,Low,1994
Saxon,B09MZK13WY,"Audio CD,Audio CD",388,4.8,Strong Arm of the Law,2022
In Flames,B09JSZ4Y4J,"Audio CD,Audio CD",385,4.8,Soundtrack to Your Escape,2021
Sepultura,B000000H3X,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",384,4.8,Schizophrenia,1997
AC/DC,B000GH3A0Y,Audio CD,385,4.8,TNT,2006
Devin Townsend,B008RTDZYO,"Audio CD,MP3 Music,Vinyl",383,4.8,Epicloud,2012
Five Finger Death Punch,B07BCBHGGS,Audio CD,385,4.8,And Justice For None,2018
Foghat,B000M7Q1PY,"Vinyl,MP3 Music,Audio CD",384,4.8,Foghat Live,1977
Architects UK,B00I89Y2V8,"Vinyl,MP3 Music,Audio CD",384,4.8,Lost Forever / Lost Together,2014
Thundermother,B086PNWL9Q,"Audio CD,MP3 Music,Vinyl",382,4.8,Heat Wave,2020
Blood Incantation,B07XW8BGCP,"Vinyl,MP3 Music,Audio CD",382,4.8,Hidden History of the Human Race black Booklet &Poster,2019
Zakk Wylde,B09BBWPVZP,Audio CD,60,4.9,Book Of Shadows,2021
Gwar,B08FBQVF26,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",383,4.8,Scumdogs of the Universe 30th Anniversary,2020
